stage_k,fwd_stage_s,m,batch_idx,lane,lower_logical,upper_logical,w_forward,w_dif_inverse,w_bf_actual,scale_even_in,scale_odd_in
0,8,256,0,0,0,256,1,1,1,1,1
0,8,256,0,1,2,258,440707649,334621212,1,1,1
0,8,256,0,2,4,260,187094501,441327809,1,1,1
0,8,256,0,3,6,262,901096861,393798416,1,1,1
0,8,256,0,4,8,264,817737403,678067437,1,1,1
0,8,256,0,5,10,266,1071029070,468127821,1,1,1
0,8,256,0,6,12,268,388561657,123870660,1,1,1
0,8,256,0,7,14,270,325597406,740442439,1,1,1
0,8,256,0,8,16,272,495671011,799167190,1,1,1
0,8,256,0,9,18,274,356746691,490820799,1,1,1
0,8,256,0,10,20,276,46209594,395896132,1,1,1
0,8,256,0,11,22,278,468059684,497305853,1,1,1
0,8,256,0,12,24,280,673962946,52154767,1,1,1
0,8,256,0,13,26,282,969735620,671309770,1,1,1
0,8,256,0,14,28,284,504231929,225846482,1,1,1
0,8,256,0,15,30,286,123325148,867526659,1,1,1
0,8,256,0,16,32,288,712162816,599619393,1,1,1
0,8,256,0,17,34,290,469253809,965174038,1,1,1
0,8,256,0,18,36,292,779493133,798152116,1,1,1
0,8,256,0,19,38,294,24705055,984048823,1,1,1
0,8,256,0,20,40,296,721337582,329845853,1,1,1
0,8,256,0,21,42,298,722972536,546561812,1,1,1
0,8,256,0,22,44,300,728877883,220006667,1,1,1
0,8,256,0,23,46,302,653072860,66559298,1,1,1
0,8,256,0,24,48,304,974527200,614008376,1,1,1
0,8,256,0,25,50,306,285094367,536100833,1,1,1
0,8,256,0,26,52,308,208233360,606240765,1,1,1
0,8,256,0,27,54,310,741034156,467587895,1,1,1
0,8,256,0,28,56,312,181435322,756720802,1,1,1
0,8,256,0,29,58,314,616973287,838112911,1,1,1
0,8,256,0,30,60,316,815926050,626476280,1,1,1
0,8,256,0,31,62,318,177778572,57627457,1,1,1
0,8,256,0,32,128,384,416084698,657665319,1,1,1
0,8,256,0,33,130,386,98497549,7438046,1,1,1
0,8,256,0,34,132,388,317291227,124276143,1,1,1
0,8,256,0,35,134,390,221863730,606199647,1,1,1
0,8,256,0,36,136,392,488629146,545310717,1,1,1
0,8,256,0,37,138,394,427155522,615157640,1,1,1
0,8,256,0,38,140,396,320034280,785100183,1,1,1
0,8,256,0,39,142,398,1056436643,842543136,1,1,1
0,8,256,0,40,144,400,1062755379,694438338,1,1,1
0,8,256,0,41,146,402,442128410,881799352,1,1,1
0,8,256,0,42,148,404,284782112,844168805,1,1,1
0,8,256,0,43,150,406,990973619,791916626,1,1,1
0,8,256,0,44,152,408,138549337,902119598,1,1,1
0,8,256,0,45,154,410,78058549,854923454,1,1,1
0,8,256,0,46,156,412,73242190,89204745,1,1,1
0,8,256,0,47,158,414,35218071,390458080,1,1,1
0,8,256,0,48,160,416,388242986,321206780,1,1,1
0,8,256,0,49,162,418,711856442,910763807,1,1,1
0,8,256,0,50,164,420,1021136799,31489074,1,1,1
0,8,256,0,51,166,422,959751287,251063475,1,1,1
0,8,256,0,52,168,424,315633928,883336468,1,1,1
0,8,256,0,53,170,426,1038697402,434929989,1,1,1
0,8,256,0,54,172,428,46625505,116385227,1,1,1
0,8,256,0,55,174,430,56660921,1061044308,1,1,1
0,8,256,0,56,176,432,671236367,421163569,1,1,1
0,8,256,0,57,178,434,729107396,795266550,1,1,1
0,8,256,0,58,180,436,462366380,168360098,1,1,1
0,8,256,0,59,182,438,184055349,214503163,1,1,1
0,8,256,0,60,184,440,885678724,615739167,1,1,1
0,8,256,0,61,186,442,807336669,634070065,1,1,1
0,8,256,0,62,188,444,97085222,371514190,1,1,1
0,8,256,0,63,190,446,899106445,1071023895,1,1,1
0,8,256,1,0,64,320,1035757310,325516584,1,1,1
0,8,256,1,1,66,322,2726122,174643572,1,1,1
0,8,256,1,2,68,324,702235827,976664795,1,1,1
0,8,256,1,3,70,326,439679952,266413348,1,1,1
0,8,256,1,4,72,328,458010850,188071293,1,1,1
0,8,256,1,5,74,330,859246854,889694668,1,1,1
0,8,256,1,6,76,332,905389919,611383637,1,1,1
0,8,256,1,7,78,334,278483467,344642621,1,1,1
0,8,256,1,8,80,336,652586448,402513650,1,1,1
0,8,256,1,9,82,338,12705709,1017089096,1,1,1
0,8,256,1,10,84,340,957364790,1027124512,1,1,1
0,8,256,1,11,86,342,638820028,35052615,1,1,1
0,8,256,1,12,88,344,190413549,758116089,1,1,1
0,8,256,1,13,90,346,822686542,113998730,1,1,1
0,8,256,1,14,92,348,1042260943,52613218,1,1,1
0,8,256,1,15,94,350,162986210,361893575,1,1,1
0,8,256,1,16,96,352,752543237,685507031,1,1,1
0,8,256,1,17,98,354,683291937,1038531946,1,1,1
0,8,256,1,18,100,356,984545272,1000507827,1,1,1
0,8,256,1,19,102,358,218826563,995691468,1,1,1
0,8,256,1,20,104,360,171630419,935200680,1,1,1
0,8,256,1,21,106,362,281833391,82776398,1,1,1
0,8,256,1,22,108,364,229581212,788967905,1,1,1
0,8,256,1,23,110,366,191950665,631621607,1,1,1
0,8,256,1,24,112,368,379311679,10994638,1,1,1
0,8,256,1,25,114,370,231206881,17313374,1,1,1
0,8,256,1,26,116,372,288649834,753715737,1,1,1
0,8,256,1,27,118,374,458592377,646594495,1,1,1
0,8,256,1,28,120,376,528439300,585120871,1,1,1
0,8,256,1,29,122,378,467550370,851886287,1,1,1
0,8,256,1,30,124,380,949473874,756458790,1,1,1
0,8,256,1,31,126,382,1066311971,975252468,1,1,1
0,8,256,1,32,192,448,748233433,37992707,1,1,1
0,8,256,1,33,194,450,1016122560,895971445,1,1,1
0,8,256,1,34,196,452,447273737,257823967,1,1,1
0,8,256,1,35,198,454,235637106,456776730,1,1,1
0,8,256,1,36,200,456,317029215,892314695,1,1,1
0,8,256,1,37,202,458,606162122,332715861,1,1,1
0,8,256,1,38,204,460,467509252,865516657,1,1,1
0,8,256,1,39,206,462,537649184,788655650,1,1,1
0,8,256,1,40,208,464,459741641,99222817,1,1,1
0,8,256,1,41,210,466,1007190719,420677157,1,1,1
0,8,256,1,42,212,468,853743350,344872134,1,1,1
0,8,256,1,43,214,470,527188205,350777481,1,1,1
0,8,256,1,44,216,472,743904164,352412435,1,1,1
0,8,256,1,45,218,474,89701194,1049044962,1,1,1
0,8,256,1,46,220,476,275597901,294256884,1,1,1
0,8,256,1,47,222,478,108575979,604496208,1,1,1
0,8,256,1,48,224,480,474130624,361587201,1,1,1
0,8,256,1,49,226,482,206223358,950424869,1,1,1
0,8,256,1,50,228,484,847903535,569518088,1,1,1
0,8,256,1,51,230,486,402440247,104014397,1,1,1
0,8,256,1,52,232,488,1021595250,399787071,1,1,1
0,8,256,1,53,234,490,576444164,605690333,1,1,1
0,8,256,1,54,236,492,677853885,1027540423,1,1,1
0,8,256,1,55,238,494,582929218,717003326,1,1,1
0,8,256,1,56,240,496,274582827,578079006,1,1,1
0,8,256,1,57,242,498,333307578,748152611,1,1,1
0,8,256,1,58,244,500,949879357,685188360,1,1,1
0,8,256,1,59,246,502,605622196,2720947,1,1,1
0,8,256,1,60,248,504,395682580,256012614,1,1,1
0,8,256,1,61,250,506,679951601,172653156,1,1,1
0,8,256,1,62,252,508,632422208,886655516,1,1,1
0,8,256,1,63,254,510,739128805,633042368,1,1,1
0,8,256,2,0,1,257,387049130,261119466,1,1,1
0,8,256,2,1,3,259,1044181966,911342484,1,1,1
0,8,256,2,2,5,261,754587317,773769869,1,1,1
0,8,256,2,3,7,263,470197401,430798803,1,1,1
0,8,256,2,4,9,265,642344479,1003204190,1,1,1
0,8,256,2,5,11,267,290047592,922708511,1,1,1
0,8,256,2,6,13,269,232140538,675169148,1,1,1
0,8,256,2,7,15,271,473577691,759326242,1,1,1
0,8,256,2,8,17,273,601346906,707402973,1,1,1
0,8,256,2,9,19,275,569569967,629952348,1,1,1
0,8,256,2,10,21,277,1063435359,668866215,1,1,1
0,8,256,2,11,23,279,1010800917,896853407,1,1,1
0,8,256,2,12,25,281,754057898,37779410,1,1,1
0,8,256,2,13,27,283,903565468,432695488,1,1,1
0,8,256,2,14,29,285,550287776,950388067,1,1,1
0,8,256,2,15,31,287,1033546797,678619037,1,1,1
0,8,256,2,16,33,289,857085928,974494738,1,1,1
0,8,256,2,17,35,291,22094670,234460888,1,1,1
0,8,256,2,18,37,293,926966534,318268939,1,1,1
0,8,256,2,19,39,295,796711999,232744729,1,1,1
0,8,256,2,20,41,297,400367431,97796171,1,1,1
0,8,256,2,21,43,299,867388620,443370354,1,1,1
0,8,256,2,22,45,301,837399340,883941878,1,1,1
0,8,256,2,23,47,303,168895115,120929536,1,1,1
0,8,256,2,24,49,305,1039528536,1021001773,1,1,1
0,8,256,2,25,51,307,961970295,475050273,1,1,1
0,8,256,2,26,53,309,180193115,637948418,1,1,1
