coef_idx,value
0,956983917
1,162030108
2,359035934
3,605974522
4,984584185
5,739234388
6,59357271
7,898557086
8,979821820
9,984272281
10,451631585
11,671961720
12,676421786
13,161748820
14,880719163
15,225344836
16,1017664865
17,256868906
18,762196427
19,119509157
20,92331193
21,758233546
22,508206382
23,329383794
24,260800772
25,472577497
26,254503597
27,687458098
28,690268391
29,1061765068
30,277688525
31,736754505
32,797047309
33,530543572
34,216365746
35,49278798
36,836559281
37,931389054
38,625489301
39,249406328
40,817103707
41,384700183
42,643029423
43,927212934
44,259897630
45,421884281
46,509910478
47,635581191
48,783036916
49,361811142
50,576366264
51,812251727
52,669211594
53,799717199
54,796969293
55,670461383
56,697269311
57,822832793
58,884027323
59,767529653
60,867275640
61,342294029
62,74450239
63,496822688
64,360117645
65,960653641
66,563989124
67,1056065671
68,918656784
69,314551023
70,811510776
71,517920675
72,515900280
73,894920955
74,250445743
75,254791663
76,1071454151
77,326453020
78,348536464
79,419838176
80,741910621
81,163894882
82,1027313463
83,80613069
84,590511737
85,186808127
86,712374109
87,174966249
88,701817328
89,615057457
90,350162587
91,371100384
92,868742517
93,404212466
94,299803378
95,986638840
96,412619495
97,875371143
98,715576272
99,810368474
100,1045313604
101,246974246
102,616184869
103,1070601461
104,556603321
105,479412289
106,722656095
107,455203249
108,1058404674
109,913228873
110,162618631
111,41620779
112,42901671
113,390113561
114,119198228
115,865330054
116,460035945
117,679714347
118,69196455
119,608557531
120,319685832
121,852286347
122,785809460
123,1011055568
124,158410890
125,1066090747
126,173808447
127,260820571
128,639487735
129,959614594
130,1070573957
131,223027911
132,835792705
133,862835961
134,59957395
135,405253643
136,810053196
137,217130274
138,611706053
139,526832954
140,564665160
141,406957592
142,121562756
143,531816497
144,444974248
145,532109763
146,108066779
147,966138307
148,122475841
149,157070418
150,674029436
151,629738009
152,1025260841
153,572111131
154,935002238
155,843067457
156,709829435
157,509632054
158,516532222
159,1026830854
160,1045425617
161,199682961
162,116842246
163,528220856
164,376249334
165,1072435213
166,380199650
167,426561457
168,970120102
169,210228050
170,702416752
171,231861429
172,861029150
173,56540529
174,69263445
175,379700870
176,84861482
177,737413716
178,425604282
179,36473276
180,867038945
181,326078649
182,724734380
183,796974821
184,281304161
185,302713092
186,1035827719
187,297629934
188,1064594838
189,77371644
190,561373721
191,188870599
192,980595130
193,111927048
194,508770785
195,739434753
196,612417
197,631127085
198,483408592
199,3895743
200,112981565
201,93224691
202,146686541
203,533784672
204,976346947
205,324509711
206,854717542
207,989461887
208,656282104
209,147096950
210,27970557
211,149399273
212,573304916
213,443393455
214,447226429
215,539149066
216,875113953
217,81568776
218,964733426
219,568191136
220,392101765
221,226846146
222,193756462
223,55141092
224,106965273
225,484834033
226,351141362
227,726097790
228,976071138
229,838388564
230,245034861
231,809694958
232,933023712
233,726906928
234,724878395
235,88899361
236,886579910
237,205279640
238,735903867
239,770362591
240,1055608259
241,437167357
242,1055882199
243,998463497
244,695752735
245,1023604891
246,923449473
247,754738017
248,134828863
249,644931137
250,295826531
251,360340822
252,889974896
253,757836574
254,1041424444
255,882527241
256,458839166
257,136104388
258,142879303
259,835070690
260,484506302
261,931737122
262,938731610
263,194531111
264,636824956
265,793487375
266,481155624
267,427651478
268,468269035
269,923393359
270,490305581
271,621835696
272,130903809
273,49376505
274,916891625
275,160601308
276,91591931
277,919341405
278,71456639
279,230555227
280,447322223
281,476857164
282,271320112
283,479099064
284,62406745
285,396092464
286,264870464
287,644347545
288,537870176
289,706376959
290,577867322
291,19437718
292,382978914
293,492790731
294,375021334
295,153603528
296,630178746
297,898101490
298,105696225
299,312482023
300,635917235
301,285127633
302,1033038187
303,489783807
304,71726735
305,380523827
306,886637405
307,707325408
308,543248751
309,549808105
310,529669161
311,887924783
312,49838073
313,145789375
314,223362711
315,263123453
316,1007908992
317,159010582
318,799223721
319,780740807
320,256505891
321,809060063
322,934883563
323,27352264
324,561134293
325,1015800745
326,401526077
327,1001804564
328,812826451
329,717125179
330,404162837
331,191755089
332,1300373
333,401577863
334,605713137
335,266753206
336,988416988
337,637383277
338,679115377
339,123848241
340,1005779159
341,3965469
342,268738650
343,47664187
344,762064162
345,557717694
346,285733569
347,634822996
348,889921604
349,50843799
350,878071954
351,49844249
352,941856704
353,984590597
354,165511623
355,171809885
356,481149809
357,620981007
358,87714025
359,991326090
360,943862606
361,109030534
362,599445262
363,167234608
364,149997430
365,543199105
366,169028368
367,383832676
368,577534188
369,60397639
370,818814866
371,752487963
372,803289700
373,776960230
374,411243763
375,348225620
376,663043840
377,644055763
378,466592636
379,563457594
380,657601025
381,24121690
382,411857077
383,763406187
384,1020366208
385,292520666
386,148023698
387,863935038
388,1010462310
389,364097447
390,560467962
391,829975887
392,1031066690
393,96418156
394,552907414
395,479397967
396,771405627
397,489310742
398,331878098
399,219288957
400,311204207
401,412084272
402,968224799
403,280268941
404,696564631
405,649647499
406,592843968
407,960188388
408,836558086
409,206949575
410,275195726
411,96136142
412,261098275
413,898909627
414,202266362
415,343796591
416,733156856
417,382099503
418,336464344
419,610131265
420,118972543
421,124300592
422,563163064
423,696598083
424,220018254
425,742892326
426,135517576
427,864129644
428,348764389
429,861245341
430,374962336
431,991144876
432,113653211
433,526324657
434,652763811
435,152551910
436,688441074
437,199968483
438,714238592
439,277401276
440,560975870
441,789723402
442,270817938
443,328666346
444,787348867
445,294448636
446,84495185
447,277830728
448,210109035
449,685793925
450,897687233
451,812586131
452,911477424
453,687622388
454,962428617
455,312861037
456,1011219604
457,581456236
458,72360746
459,360585749
460,520072035
461,768108694
462,954924855
463,429522991
464,848322112
465,968527330
466,826795257
467,111840003
468,218875218
469,122406150
470,69551690
471,203535110
472,239835469
473,932214859
474,789776796
475,567795340
476,108903124
477,224803372
478,894615318
479,7119185
480,109297268
481,813418520
482,91726690
483,895071316
484,822549167
485,945077126
486,1322897
487,336798248
488,1028276346
489,980412067
490,967907259
491,459553888
492,534453626
493,111809937
494,300092080
495,648301110
496,505300802
497,947933938
498,809095993
499,249356975
500,137194670
501,92200651
502,262050706
503,1039785348
504,222420363
505,985379595
506,804765911
507,733640180
508,1033915064
509,158841854
510,310962350
511,402228737
