stage_s,m,batch_idx,load_mode,first_start,second_start,lane,a_mem_pos,b_mem_pos,a_logical,b_logical,pe_a,pe_b,twiddle_w,b*w,out0(a+b*w),out1(a-b*w)
8,256,0,interleaved,0,256,0,0,256,0,256,171036533,785947384,1,785947384,956983917,458839166
8,256,0,interleaved,0,256,1,1,257,2,258,787832627,475946286,440707649,644953324,359035934,142879303
8,256,0,interleaved,0,256,2,2,258,4,260,197670235,905411579,187094501,786913950,984584185,484506302
8,256,0,interleaved,0,256,3,3,259,6,262,1035919449,14220226,901096861,97187839,59357271,938731610
8,256,0,interleaved,0,256,4,4,260,8,264,808323388,655902851,817737403,171498432,979821820,636824956
8,256,0,interleaved,0,256,5,5,261,10,266,1003268613,815440238,1071029070,522112989,451631585,481155624
8,256,0,interleaved,0,256,6,6,262,12,268,35470402,753231871,388561657,640951384,676421786,468269035
8,256,0,interleaved,0,256,7,7,263,14,270,685512372,1037753142,325597406,195206791,880719163,490305581
8,256,0,interleaved,0,256,8,8,264,16,272,574284337,458763295,495671011,443380528,1017664865,130903809
8,256,0,interleaved,0,256,9,9,265,18,274,839544026,204145227,356746691,996402418,762196427,916891625
8,256,0,interleaved,0,256,10,10,266,20,276,91961562,535850464,46209594,369631,92331193,91591931
8,256,0,interleaved,0,256,11,11,267,22,278,826706519,866317507,468059684,755249880,508206382,71456639
8,256,0,interleaved,0,256,12,12,268,24,280,890936506,67680020,673962946,443614283,260800772,447322223
8,256,0,interleaved,0,256,13,13,269,26,282,799786863,589690726,969735620,528466751,254503597,271320112
8,256,0,interleaved,0,256,14,14,270,28,284,376337568,925897444,504231929,313930823,690268391,62406745
8,256,0,interleaved,0,256,15,15,271,30,286,808154503,1063441102,123325148,543284039,277688525,264870464
8,256,0,interleaved,0,256,16,16,272,32,288,130583734,824860104,712162816,666463575,797047309,537870176
8,256,0,interleaved,0,256,17,17,273,34,290,397116534,558908270,469253809,892999229,216365746,577867322
8,256,0,interleaved,0,256,18,18,274,36,292,72894089,291438747,779493133,763665192,836559281,382978914
8,256,0,interleaved,0,256,19,19,275,38,294,1037130326,327278738,24705055,662108992,625489301,375021334
8,256,0,interleaved,0,256,20,20,276,40,296,186766218,890309945,721337582,630337489,817103707,630178746
8,256,0,interleaved,0,256,21,21,277,42,298,374362824,157197249,722972536,268666599,643029423,105696225
8,256,0,interleaved,0,256,22,22,278,44,300,984782441,1000402269,728877883,348865206,259897630,635917235
8,256,0,interleaved,0,256,23,23,279,46,302,234599324,284189490,653072860,275311154,509910478,1033038187
8,256,0,interleaved,0,256,24,24,280,48,304,964256834,957892543,974527200,892530099,783036916,71726735
8,256,0,interleaved,0,256,25,25,281,50,306,194626826,265645626,285094367,381739438,576366264,886637405
8,256,0,interleaved,0,256,26,26,282,52,308,69355164,407062673,208233360,599856430,669211594,543248751
8,256,0,interleaved,0,256,27,27,283,54,310,663319227,88136790,741034156,133650066,796969293,529669161
8,256,0,interleaved,0,256,28,28,284,56,312,373553692,50023715,181435322,323715619,697269311,49838073
8,256,0,interleaved,0,256,29,29,285,58,314,553695017,696971729,616973287,330332306,884027323,223362711
8,256,0,interleaved,0,256,30,30,286,60,316,937592316,872497706,815926050,1003433341,867275640,1007908992
8,256,0,interleaved,0,256,31,31,287,62,318,436836980,23786349,177778572,711363276,74450239,799223721
8,256,0,interleaved,0,256,32,32,288,128,384,293051963,811914821,416084698,346435772,639487735,1020366208
8,256,0,interleaved,0,256,33,33,289,130,386,72423819,1063806364,98497549,998150138,1070573957,148023698
8,256,0,interleaved,0,256,34,34,290,132,388,386252499,809346903,317291227,449540206,835792705,1010462310
8,256,0,interleaved,0,256,35,35,291,134,390,847087687,869883401,221863730,286619725,59957395,560467962
8,256,0,interleaved,0,256,36,36,292,136,392,920559943,752908734,488629146,963243270,810053196,1031066690
8,256,0,interleaved,0,256,37,37,293,138,394,45431725,441144283,427155522,566274328,611706053,552907414
8,256,0,interleaved,0,256,38,38,294,140,396,131160385,399163354,320034280,433504775,564665160,771405627
8,256,0,interleaved,0,256,39,39,295,142,398,226720427,1011449122,1056436643,968592346,121562756,331878098
8,256,0,interleaved,0,256,40,40,296,144,400,914964236,157741897,1062755379,603760029,444974248,311204207
8,256,0,interleaved,0,256,41,41,297,146,402,538145789,480017526,442128410,643671007,108066779,968224799
8,256,0,interleaved,0,256,42,42,298,148,404,409520236,494804027,284782112,786705622,122475841,696564631
8,256,0,interleaved,0,256,43,43,299,150,406,633436702,869197393,990973619,40592734,674029436,592843968
8,256,0,interleaved,0,256,44,44,300,152,408,394034455,615955259,138549337,631226386,1025260841,836558086
8,256,0,interleaved,0,256,45,45,301,154,410,605098982,322474422,78058549,329903256,935002238,275195726
8,256,0,interleaved,0,256,46,46,302,156,412,485463855,595050687,73242190,224365580,709829435,261098275
8,256,0,interleaved,0,256,47,47,303,158,414,359399292,659948429,35218071,157132930,516532222,202266362
8,256,0,interleaved,0,256,48,48,304,160,416,352416228,756184292,388242986,693009389,1045425617,733156856
8,256,0,interleaved,0,256,49,49,305,162,418,226653295,499271626,711856442,963938968,116842246,336464344
8,256,0,interleaved,0,256,50,50,306,164,420,784485947,269758556,1021136799,665513404,376249334,118972543
8,256,0,interleaved,0,256,51,51,307,166,422,471681357,544031388,959751287,982268310,380199650,563163064
8,256,0,interleaved,0,256,52,52,308,168,424,595069178,52345403,315633928,375050924,970120102,220018254
8,256,0,interleaved,0,256,53,53,309,170,426,418967164,272819333,1038697402,283449588,702416752,135517576
8,256,0,interleaved,0,256,54,54,310,172,428,68021761,133954736,46625505,793007389,861029150,348764389
8,256,0,interleaved,0,256,55,55,311,174,430,758987899,595211961,56660921,384025563,69263445,374962336
8,256,0,interleaved,0,256,56,56,312,176,432,636132355,88706434,671236367,522479144,84861482,113653211
8,256,0,interleaved,0,256,57,57,313,178,434,2309038,446349517,729107396,423295244,425604282,652763811
8,256,0,interleaved,0,256,58,58,314,180,436,240865001,379045963,462366380,626173944,867038945,688441074
8,256,0,interleaved,0,256,59,59,315,182,438,719486486,409266398,184055349,5247894,724734380,714238592
8,256,0,interleaved,0,256,60,60,316,184,440,958015024,872266460,885678724,397039154,281304161,560975870
8,256,0,interleaved,0,256,61,61,317,186,442,116447820,235377306,807336669,919379899,1035827719,270817938
8,256,0,interleaved,0,256,62,62,318,188,444,389096844,963041137,97085222,675497994,1064594838,787348867
8,256,0,interleaved,0,256,63,63,319,190,446,322934453,439882577,899106445,238439268,561373721,84495185
8,256,1,interleaved,64,320,0,64,320,64,320,308311768,742672402,1035757310,51805877,360117645,256505891
8,256,1,interleaved,64,320,1,65,321,66,322,212561335,446817302,2726122,351427789,563989124,934883563
8,256,1,interleaved,64,320,2,66,322,68,324,203020530,7907849,702235827,715636254,918656784,561134293
8,256,1,interleaved,64,320,3,67,323,70,326,69643418,592533076,439679952,741867358,811510776,401526077
8,256,1,interleaved,64,320,4,68,324,72,328,127488357,127436060,458010850,388411923,515900280,812826451
8,256,1,interleaved,64,320,5,69,325,74,330,327304290,791499720,859246854,996891470,250445743,404162837
8,256,1,interleaved,64,320,6,70,326,76,332,536377262,398359548,905389919,535076889,1071454151,1300373
8,256,1,interleaved,64,320,7,71,327,78,334,1013999809,33378201,278483467,408286672,348536464,605713137
8,256,1,interleaved,64,320,8,72,328,80,336,328288796,677006000,652586448,413621825,741910621,988416988
8,256,1,interleaved,64,320,9,73,329,82,338,853214420,152081519,12705709,174099043,1027313463,679115377
8,256,1,interleaved,64,320,10,74,330,84,340,798145448,913375542,957364790,866116306,590511737,1005779159
8,256,1,interleaved,64,320,11,75,331,86,342,1027431388,772361418,638820028,758692738,712374109,268738650
8,256,1,interleaved,64,320,12,76,332,88,344,731940745,858208319,190413549,1043626600,701817328,762064162
8,256,1,interleaved,64,320,13,77,333,90,346,317948078,149180595,822686542,32214509,350162587,285733569
8,256,1,interleaved,64,320,14,78,334,92,348,342457052,669385028,1042260943,526285465,868742517,889921604
8,256,1,interleaved,64,320,15,79,335,94,350,588937666,644733026,162986210,784615729,299803378,878071954
8,256,1,interleaved,64,320,16,80,336,96,352,140363091,361924380,752543237,272256404,412619495,941856704
8,256,1,interleaved,64,320,17,81,337,98,354,977418956,381192943,683291937,811907333,715576272,165511623
8,256,1,interleaved,64,320,18,82,338,100,356,226356698,877345793,984545272,818956906,1045313604,481149809
8,256,1,interleaved,64,320,19,83,339,102,358,351949447,93333008,218826563,264235422,616184869,87714025
8,256,1,interleaved,64,320,20,84,340,104,360,213357955,430308134,171630419,343245366,556603321,943862606
8,256,1,interleaved,64,320,21,85,341,106,362,124175670,493173044,281833391,598480425,722656095,599445262
8,256,1,interleaved,64,320,22,86,342,108,364,604201052,337941715,229581212,454203622,1058404674,149997430
8,256,1,interleaved,64,320,23,87,343,110,366,702698508,1015480222,191950665,533670140,162618631,169028368
8,256,1,interleaved,64,320,24,88,344,112,368,847092938,504060120,379311679,269558750,42901671,577534188
8,256,1,interleaved,64,320,25,89,345,114,370,469006547,160728222,231206881,723941698,119198228,818814866
8,256,1,interleaved,64,320,26,90,346,116,372,94787814,354744672,288649834,365248131,460035945,803289700
8,256,1,interleaved,64,320,27,91,347,118,374,240220109,165854725,458592377,902726363,69196455,411243763
8,256,1,interleaved,64,320,28,92,348,120,376,491364836,782515384,528439300,902071013,319685832,663043840
8,256,1,interleaved,64,320,29,93,349,122,378,626201048,149948076,467550370,159608412,785809460,466592636
8,256,1,interleaved,64,320,30,94,350,124,380,944880966,628264531,949473874,287279941,158410890,657601025
8,256,1,interleaved,64,320,31,95,351,126,382,292832762,104541594,1066311971,954725702,173808447,411857077
8,256,1,interleaved,64,320,32,96,352,192,448,58477074,695100381,748233433,922118056,980595130,210109035
8,256,1,interleaved,64,320,33,97,353,194,450,703229009,436543346,1016122560,879291793,508770785,897687233
8,256,1,interleaved,64,320,34,98,354,196,452,992919929,667822084,447273737,81442505,612417,911477424
8,256,1,interleaved,64,320,35,99,355,198,454,186043596,52592553,235637106,297364996,483408592,962428617
8,256,1,interleaved,64,320,36,100,356,200,456,25225576,506690005,317029215,87755989,112981565,1011219604
8,256,1,interleaved,64,320,37,101,357,202,458,646398652,333830065,606162122,574037906,146686541,72360746
8,256,1,interleaved,64,320,38,102,358,204,460,748209491,654897378,467509252,228137456,976346947,520072035
8,256,1,interleaved,64,320,39,103,359,206,462,367946190,347474190,537649184,486771352,854717542,954924855
8,256,1,interleaved,64,320,40,104,360,208,464,752302108,25609596,459741641,977730013,656282104,848322112
8,256,1,interleaved,64,320,41,105,361,210,466,427382907,1032772509,1007190719,674337667,27970557,826795257
8,256,1,interleaved,64,320,42,106,362,212,468,396090067,542249747,853743350,177214849,573304916,218875218
8,256,1,interleaved,64,320,43,107,363,214,470,795264068,6267141,527188205,725712378,447226429,69551690
8,256,1,interleaved,64,320,44,108,364,216,472,557474711,1039999280,743904164,317639242,875113953,239835469
8,256,1,interleaved,64,320,45,109,365,218,474,877255111,477083898,89701194,87478315,964733426,789776796
8,256,1,interleaved,64,320,46,110,366,220,476,787377453,698416997,275597901,678474329,392101765,108903124
8,256,1,interleaved,64,320,47,111,367,222,478,544185890,939962057,108575979,723320589,193756462,894615318
8,256,1,interleaved,64,320,48,112,368,224,480,645006279,856152095,474130624,535709011,106965273,109297268
8,256,1,interleaved,64,320,49,113,369,226,482,221434026,510621551,206223358,129707336,351141362,91726690
8,256,1,interleaved,64,320,50,114,370,228,484,362435144,906565973,847903535,613635994,976071138,822549167
8,256,1,interleaved,64,320,51,115,371,230,486,123178879,431651199,402440247,121855982,245034861,1322897
8,256,1,interleaved,64,320,52,116,372,232,488,980650029,218006795,1021595250,1026123700,933023712,1028276346
8,256,1,interleaved,64,320,53,117,373,234,490,846392827,822877920,576444164,952235585,724878395,967907259
8,256,1,interleaved,64,320,54,118,374,236,492,710516768,789874703,677853885,176063142,886579910,534453626
8,256,1,interleaved,64,320,55,119,375,238,494,1054872982,708365271,582929218,754780902,735903867,300092080
8,256,1,interleaved,64,320,56,120,376,240,496,243579522,513918824,274582827,812028737,1055608259,505300802
8,256,1,interleaved,64,320,57,121,377,242,498,932489096,65997706,333307578,123393103,1055882199,809095993
8,256,1,interleaved,64,320,58,122,378,244,500,953348711,726400648,949879357,816154041,695752735,137194670
8,256,1,interleaved,64,320,59,123,379,246,502,55875081,633064979,605622196,867574392,923449473,262050706
8,256,1,interleaved,64,320,60,124,380,248,504,178624613,742926152,395682580,1029954267,134828863,222420363
8,256,1,interleaved,64,320,61,125,381,250,506,550296221,509503157,679951601,819280327,295826531,804765911
8,256,1,interleaved,64,320,62,126,382,252,508,961944980,558472049,632422208,1001779933,889974896,1033915064
8,256,1,interleaved,64,320,63,127,383,254,510,676193397,125700479,739128805,365231047,1041424444,310962350
8,256,2,interleaved,128,384,0,128,384,1,257,149067248,961192521,387049130,12962860,162030108,136104388
8,256,2,interleaved,128,384,1,129,385,3,259,720522606,1062779872,1044181966,959201933,605974522,835070690
8,256,2,interleaved,128,384,2,130,386,5,261,835485755,580726604,754587317,977498650,739234388,931737122
8,256,2,interleaved,128,384,3,131,387,7,263,9669090,573902209,470197401,888887996,898557086,194531111
8,256,2,interleaved,128,384,4,132,388,9,265,888879828,838850894,642344479,95392453,984272281,793487375
8,256,2,interleaved,128,384,5,133,389,11,267,549806599,63162684,290047592,122155121,671961720,427651478
8,256,2,interleaved,128,384,6,134,390,13,269,5696081,609317037,232140538,156052739,161748820,923393359
8,256,2,interleaved,128,384,7,135,391,15,271,423590266,337718364,473577691,875504587,225344836,621835696
8,256,2,interleaved,128,384,8,136,392,17,273,689997714,1004836116,601346906,640621209,256868906,49376505
8,256,2,interleaved,128,384,9,137,393,19,275,676930241,774008780,569569967,516328933,119509157,160601308
8,256,2,interleaved,128,384,10,138,394,21,277,301912467,570627747,1063435359,456321079,758233546,919341405
8,256,2,interleaved,128,384,11,139,395,23,279,816844519,335415226,1010800917,586289292,329383794,230555227
8,256,2,interleaved,128,384,12,140,396,25,281,1011592339,991651695,754057898,534735175,472577497,476857164
8,256,2,interleaved,128,384,13,141,397,27,283,583278581,165477931,903565468,104179517,687458098,479099064
8,256,2,interleaved,128,384,14,142,398,29,285,728928766,1035807415,550287776,332836302,1061765068,396092464
8,256,2,interleaved,128,384,15,143,399,31,287,690551025,815981981,1033546797,46203480,736754505,644347545
8,256,2,interleaved,128,384,16,144,400,33,289,81585257,817068698,857085928,448958315,530543572,706376959
8,256,2,interleaved,128,384,17,145,401,35,291,34358258,133703435,22094670,14920540,49278798,19437718
8,256,2,interleaved,128,384,18,146,402,37,293,175214884,783532291,926966534,756174170,931389054,492790731
8,256,2,interleaved,128,384,19,147,403,39,295,201504928,395208784,796711999,47901400,249406328,153603528
8,256,2,interleaved,128,384,20,148,404,41,297,104525828,427588297,400367431,280174355,384700183,898101490
8,256,2,interleaved,128,384,21,149,405,43,299,82972470,413573588,867388620,844240464,927212934,312482023
8,256,2,interleaved,128,384,22,150,406,45,301,353505957,850355455,837399340,68378324,421884281,285127633
8,256,2,interleaved,128,384,23,151,407,47,303,562682499,320245059,168895115,72898692,635581191,489783807
8,256,2,interleaved,128,384,24,152,408,49,305,908042493,769323826,1039528536,527518666,361811142,380523827
8,256,2,interleaved,128,384,25,153,409,51,307,222913559,8958289,961970295,589338168,812251727,707325408
8,256,2,interleaved,128,384,26,154,410,53,309,674762652,715986880,180193115,124954547,799717199,549808105
8,256,2,interleaved,128,384,27,155,411,55,311,779193083,290635908,862849377,965018317,670461383,887924783
